n_trades,mean_ret_pct,win_rate,t_stat,p_value,sharpe,cagr_pct,max_dd_pct,n_stocks,sub_periods,id,family,rules,hold
9440,-0.0336,52.03,-1.034,0.15068098858169499,-0.441,-15.34,-90.94,130,"{'2014-2017': -0.446, '2018-2021': -0.569, '2022-2024': -0.352}",H0106,A_composite,"[('bb_z_20', '<', -2.0), ('rsi_3', '<', 35)]",2
8437,-0.017,52.36,-0.396,0.3458777347945896,-0.018,-6.28,-82.87,130,"{'2014-2017': 0.266, '2018-2021': -0.293, '2022-2024': -0.132}",H0107,A_composite,"[('bb_z_20', '<', -2.0), ('rsi_3', '<', 35)]",3
3878,0.0273,49.51,0.702,0.24131072343221072,-0.785,-15.46,-86.48,130,"{'2014-2017': -1.183, '2018-2021': -0.486, '2022-2024': -0.879}",H0108,A_composite,"[('bb_z_20', '<', -2.5), ('rsi_3', '<', 30)]",1
3525,-0.0285,51.66,-0.526,0.29929906130222844,-0.635,-16.81,-91.55,130,"{'2014-2017': -0.394, '2018-2021': -0.999, '2022-2024': -0.644}",H0109,A_composite,"[('bb_z_20', '<', -2.5), ('rsi_3', '<', 30)]",2
3380,0.0131,52.28,0.199,0.42117736491618646,-0.273,-11.49,-88.97,130,"{'2014-2017': 0.014, '2018-2021': -0.554, '2022-2024': -0.396}",H0110,A_composite,"[('bb_z_20', '<', -2.5), ('rsi_3', '<', 30)]",3
2780,0.0827,51.44,1.261,0.10375970952284908,-0.092,-5.38,-60.64,93,"{'2014-2017': -0.25, '2018-2021': 0.058, '2022-2024': -0.248}",H0111,A_composite,"[('sma_dev_atr', '<', -1.5), ('rsi_3', '<', 35)]",1
2120,0.1683,52.59,1.689,0.04572662569905524,0.138,-0.92,-73.42,93,"{'2014-2017': -0.156, '2018-2021': 0.46, '2022-2024': -0.243}",H0112,A_composite,"[('sma_dev_atr', '<', -1.5), ('rsi_3', '<', 35)]",2
1816,0.0307,52.53,0.237,0.4062823434952448,0.297,4.08,-79.08,93,"{'2014-2017': -0.031, '2018-2021': 0.381, '2022-2024': 0.291}",H0113,A_composite,"[('sma_dev_atr', '<', -1.5), ('rsi_3', '<', 35)]",3
12986,0.0881,51.79,3.479,0.00025255408017502915,0.291,3.99,-84.42,130,"{'2014-2017': -0.582, '2018-2021': 0.3, '2022-2024': 1.065}",H0114,A_composite,"[('down_days', '>=', 3), ('ibs', '<', 0.25)]",2
12532,0.1253,52.63,3.955,3.8549590226270093e-05,0.583,15.79,-70.66,130,"{'2014-2017': -0.035, '2018-2021': 0.793, '2022-2024': 0.787}",H0115,A_composite,"[('down_days', '>=', 3), ('ibs', '<', 0.25)]",3
6732,0.1548,52.29,4.268,1.0019063220653508e-05,0.474,10.15,-58.58,130,"{'2014-2017': -0.24, '2018-2021': 0.908, '2022-2024': 0.348}",H0116,A_composite,"[('down_days', '>=', 4), ('ibs', '<', 0.3)]",2
6481,0.2848,53.43,6.419,7.34103815039518e-11,0.779,24.92,-68.96,130,"{'2014-2017': 0.124, '2018-2021': 1.241, '2022-2024': 0.558}",H0117,A_composite,"[('down_days', '>=', 4), ('ibs', '<', 0.3)]",3
3223,0.422,55.29,7.998,8.762108103352794e-16,0.528,10.72,-47.91,130,"{'2014-2017': 0.098, '2018-2021': 1.155, '2022-2024': 0.03}",H0118,A_composite,"[('down_days', '>=', 5), ('ibs', '<', 0.3)]",2
3109,0.4049,54.62,6.179,3.6389499131346347e-10,0.644,17.56,-59.7,130,"{'2014-2017': 0.821, '2018-2021': 0.942, '2022-2024': -0.226}",H0119,A_composite,"[('down_days', '>=', 5), ('ibs', '<', 0.3)]",3
2591,0.1067,53.65,1.463,0.0718074005938246,0.136,-0.08,-69.41,130,"{'2014-2017': 0.668, '2018-2021': -0.125, '2022-2024': -0.131}",H0120,A_composite,"[('mfi', '<', 20), ('rsi_3', '<', 35)]",2
